Name	Category	Description	Task	Data_Type	Source	Paper link	Availability	Contact
SDAP 2.0	Drug & Immunotherapy Development	SDAP is a Web server that integrates a database of allergenic proteins with various computational tools that can assist structural biology studies related to allergens. SDAP is an important tool in the investigation of the cross-reactivity between known allergens, in testing the FAO/WHO allergenicity rules for new proteins, and in predicting the IgE-binding potential of genetically modified food proteins.	Drug Design, Structural Analysis, Epitope Mapping, Cross-Reactivity Modeling	Molecular	https://fermi.utmb.edu/	https://pmc.ncbi.nlm.nih.gov/articles/PMC10509899/	Open source	
DAVIS (DrugTarget)	Computational Method Development	Drug-target affinity dataset containing Kd values for 68 drugs and 379 protein targets, widely used for benchmarking drug-target interaction prediction models	Drug Design, Target Interaction	Molecular	https://staff.cs.utu.fi/~aatapa/data/DrugTarget/	https://pubmed.ncbi.nlm.nih.gov/24723570/	Open source	
QSAR Database	Drug & Immunotherapy Development	QsarDB is a smart repository for (Q)SAR/QSPR models and datasets, providing access to peer-reviewed quantitative structure-activity relationship models	Property Prediction, Drug Design	Molecular	https://qsardb.org/	https://qsardb.org/	Open source	
e-Drug3D Database	Drug & Immunotherapy Development	Three-dimensional database of drug-like compounds and their molecular conformations for structure-based drug design applications	Drug Design, Target Interaction	Molecular	https://zenodo.org/records/17063565	https://pmc.ncbi.nlm.nih.gov/articles/PMC5846051/	Open source	
Stanford Drug Data (Effects & Interactions)	Drug & Immunotherapy Development	Comprehensive dataset of drug effects and drug-drug interactions compiled from clinical data and pharmacological studies	Drug Design	Clinical	https://purl.stanford.edu/zq918jm7358/version/1	https://pmc.ncbi.nlm.nih.gov/articles/PMC3382018/	Open source	
DrugCentral	Drug & Immunotherapy Development	Open-access online drug information repository covering over 4950 drugs with structural, physicochemical, and pharmacological details to support drug discovery and repositioning	Drug Design, Target Interaction	Chemical	https://drugcentral.org/download		Open source	
MedKG	Drug & Immunotherapy Development	Comprehensive medical knowledge graph integrating data from 35 authoritative sources with 34 node types and 79 relationships for precision medicine and drug discovery	Drug Design, Target Interaction, Treatment Planning	Chemical	https://github.com/chemplusx/MedKG	https://link.springer.com/article/10.1007/s11030-025-11164-z	Open source	
PDBBind+	Drug & Immunotherapy Development	Enhanced version of PDBBind database providing protein-ligand binding affinity data with refined experimental measurements and structural information	Target Interaction, Drug Design	Molecular	https://www.pdbbind-plus.org.cn/download	https://arxiv.org/html/2308.09639v2	Open source	
Human Metabolome Database (HMDB)	Drug & Immunotherapy Development	Freely available electronic database containing detailed information about 220,945 small molecule metabolites found in the human body for metabolomics and biomarker discovery	Drug Design, Target Interaction	Mixed	https://www.hmdb.ca/downloads	https://pmc.ncbi.nlm.nih.gov/articles/PMC1899095/	Open source	
Therapeutic Target Database (TTD)	Drug & Immunotherapy Development	Database providing information about known therapeutic protein and nucleic acid targets, targeted diseases, pathway information, and corresponding drugs	Drug Design, Treatment Planning, Target Interaction	Molecular	https://db.idrblab.net/ttd/full-data-download	https://academic.oup.com/nar/article/52/D1/D1465/7275004	Open source	
STITCH	Allergen Identification & Prediction	A database that itegrates known and predicted interactions between chemicals and proteins, combining evidence from experiments, databases, text mining and prediction algorithms	Allergen Identification, Allergenicity Assessment	Molecular	http://stitch.embl.de/cgi/download.pl?UserId=o7OnPFVV3JJ4&sessionId=e44tciEEXzEc		Open source	
nabla²DFT	Computational Method Development	nabla²DFT is a large-scale dataset and benchmark in computational quantum chemistry that is designed to support machine learning models for predicting molecular electronic structure properties. Per molecule, it contains quantum-level properties like total electronic energy, DFT Hamilton matrices, forces, overlap matrices, etcetera. In addition to the data, it also contains benchmark tasks. Can be used to train neural network potentials.	Structural Analysis, Drug Design	Molecular	https://github.com/AIRI-Institute/nablaDFT/tree/1.0	https://pubs.rsc.org/en/content/articlelanding/2022/CP/D2CP03966D	Open source	
QM Datasets	Computational Method Development	Benchmarks quantum chemistry datasets of small organic molecules (<=9 heavy atoms) where molecular properties have been computed via quantum chemistry. WIDELY USED for molecular property prediction	Property Prediction, Text Mining	Mixed	https://quantum-machine.org/datasets/		Open source	
QDπ Dataset	Computational Method Development	The QDπ dataset enables creation of flexible target loss functions for neural network training relevant to drug discovery, including information-dense data sets of relative conformational energies and barriers, intermolecular interactions, tautomers and relative protonation energies of drug-like compounds and biomolecular fragments. Useful for training universal machine learning potentials (MLPs).	Property Prediction, Text Mining	Chemical	https://zenodo.org/records/14970869	https://www.nature.com/articles/s41597-025-04972-3	Open source	
QCML Dataset	Drug & Immunotherapy Development	Quantum chemistry reference dataset with 33.5 m. DFT calculations and 14.7 billion semi empirical entries. It covers small molecules (up to 8 heavy atoms) and provide a wide variety of computed molecular properties	Drug Design, Target Interaction	Mixed	https://zenodo.org/records/14859804	https://www.nature.com/articles/s41597-025-04720-7	Open source	
Allergen30	Cross-Reactivity Analysis	Dataset containing structural and sequence information for 30 major allergen families to support allergenicity prediction and cross-reactivity analysis	Allergenicity Assessment, Allergen Identification, Structural Analysis	Molecular	https://data.mendeley.com/datasets/9ygs9vhnpw/1	https://link.springer.com/article/10.1007/s12161-022-02353-9	Open source	
M3-20M: Multi-Modal Molecular Dataset	Drug & Immunotherapy Development	M3-20M is an extensive multi-modal molecular dataset containing over 20 million molecules with 1D, 2D, and 3D molecular representations, physicochemical properties, and text descriptions. It supports AI-driven drug discovery, molecular property prediction, lead optimization, and drug-target interaction modeling across various applications, including allergy-related therapeutic design.	Target Interaction, Property Prediction, Drug Design	Chemical	https://huggingface.co/datasets/Alex99Gsy/M-3_Multi-Modal-Molecule	https://arxiv.org/html/2412.06847v2	Open source	gsy9901224@tongji.edu.cn
SAIR Dataset	Drug & Immunotherapy Development	The SAIR dataset is a massive repository containing over one million protein-ligand 3D cofolded structures paired with experimental binding affinity measurements (e.g., IC50). It supports AI-driven drug discovery by enabling prediction of molecular binding potency and facilitating the design and optimization of new therapeutic compounds targeting allergenic proteins and other disease-related targets.	Target Interaction, Structural Analysis, Property Prediction, Drug Design	Molecular	https://huggingface.co/datasets/SandboxAQ/SAIR	https://go.sandboxaq.com/rs/175-UKR-711/images/sair_paper.pdf	Gated	SAIR@sandboxaq.com
TDC	Drug & Immunotherapy Development	Curated collection of AI (ready) datasets and tasks in the therapeutic pipeline, with consistent splits and evals	Drug Design, Target Interaction	Mixed	https://tdcommons.ai/		Open source	
RxRx3	Drug & Immunotherapy Development	Cell imaging phenomics dataset, that provides a map for biology for ML methods, including knockouts small molecule perturbations and embeddings	Drug Design, Target Interaction	Mixed	https://www.recursion.com/news/accelerating-ai-drug-discovery-with-open-source-datasets	https://arxiv.org/abs/2503.20158	Open source	
Dorothea	Drug & Immunotherapy Development	Gene regulatory network of signed TF-> target interactions (human/mouse) with confidence levels	Drug Design, Target Interaction	Omics	https://archive.ics.uci.edu/ml/datasets/dorothea		Open source	
Simulated Allergen Immunotherapy Trials Dataset	Drug & Immunotherapy Development	Simulated datasets implementing an enchanced three stage trial design for allergen immunotherapy (AIT). It captures realistic features like corssover, discontinuation and staged enrollment	Drug Design, Target Interaction	Mixed	https://figshare.com/articles/dataset/Simulated_datasets_for_enhanced_three-stage_design_for_allergen_immunotherapy_trials/23638965		Open source	
IUPHAR Pharmacology Datasets	Drug & Immunotherapy Development	Pharmacology data curated from experts that links drug/ligand information to molecular targets	Drug Design, Target Interaction	Chemical	https://www.guidetopharmacology.org/download.jsp		Open source	
Enamine REAL Database	Drug & Immunotherapy Development	Massive virtual libary of synthesizable compunds and enumerated subsets for large scale virtual screening and hit expansion	Drug Design, Target Interaction	Mixed	https://gist.github.com/matteoferla/b1eee8656079d006835f2d8dc159fbb5		Open source	
Quantum Chemistry Database with Ground- and Excited-State (QCDGE) Dataset	Drug & Immunotherapy Development	more than 400k small organic molecules (<=10 heavy atoms) for which both ground state and excited state quantum chemical properties have already been computed	Drug Design, Target Interaction	Chemical	https://springernature.figshare.com/collections/QCDGE_database_Quantum_Chemistry_Database_with_Ground-_and_Excited-State_Properties/7259125/1	https://www.nature.com/articles/s41597-024-03788-x	Open source	
Probes & Drugs Datasets	Drug & Immunotherapy Development	The Probes & Drugs (P&D) portal is a comprehensive resource integrating high-quality bioactive compound sets for analysis and comparison, focusing on chemical probes and drugs. It includes compound data from multiple sources, provides expert scoring based on potency and selectivity, and offers standardized compound forms to unify data. The portal supports research by tagging probes, scoring probe-likeness, and highlighting structural alerts for compound reliability	Target Interaction	Chemical	https://www.probes-drugs.org/download		Open source	
AllerBase	Drug & Immunotherapy Development	Comprehensive allergen knowledgebase integrating data from multiple sources with extensive experimental validation and IgE epitope data	Cross-Reactivity Modeling, Allergenicity Assessment, Drug Design	Mixed	http://algpred.tu-bs.de/allerbase/	https://academic.oup.com/database/article/doi/10.1093/database/bax066/4157991	Open source	
AllFam	Cross-Reactivity Analysis	Database classifying allergens into 134 protein families based on WHO/IUIS and AllergenOnline data with Pfam definitions	Structural Analysis, Cross-Reactivity Modeling	Molecular	https://www.meduniwien.ac.at/allfam/	https://pubmed.ncbi.nlm.nih.gov/18395549/	Open source	
